Year,State,URL
2022,Colorado,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Colorado_PYs_2022-2023_(Mod).pdf
2022,Connecticut,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Connecticut_PYs_2022-2023_(Mod).pdf
2022,Delaware,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Delaware_PYs_2022-2023_(Mod).pdf
2022,District of Columbia,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/District_of_Columbia_PYs_2022-2023_(Mod).pdf
2022,Florida,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Florida_PYs_2022-2023_(Mod).pdf
2022,Georgia,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Georgia_PYs_2022-2023_(Mod).pdf
2022,Guam,
2022,Hawaii,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Hawaii_PYs_2022-2023_(Mod).pdf
2022,Idaho,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Idaho_PYs_2022-2023_(Mod).pdf
2022,Illinois,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Illinois_PYs_2022-2023_(Mod).pdf
2022,Indiana,
2022,Iowa,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Iowa_PYs_2022-2023_(Mod).pdf
2022,Kansas,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Kansas_PYs_2022-2023_(Mod).pdf
2022,Kentucky,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Kentucky_PYs_2022-2023_(Mod).pdf
2022,Louisiana,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Louisiana_PYs_2022-2023_(Mod).pdf
2022,Maine,
2022,Maryland,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Maryland_PYs_2022-2023_(Mod).pdf
2022,Massachusetts,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Massachusetts_PYs_2022-2023_(Mod).pdf
2022,Michigan,
2022,Minnesota,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Minnesota_PYs_2022-2023_(Mod).pdf
2022,Mississippi,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Mississippi_PYs_2022-2023_(Mod).pdf
2022,Missouri,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Missouri_PYs_2022-2023_(Mod).pdf
2022,Montana,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Montana_PYs_2022-2023_(Mod).pdf
2022,Nebraska,
2022,Nevada,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/Nevada_PYs_2022-2023_(Mod).pdf
2022,New Hampshire,
2022,New Jersey,
2022,New Mexico,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/New_Mexico_PYs_2022-2023_(Mod).pdf
2022,New York,
2022,North Carolina,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/North_Carolina_PYs_2022-2023_(Mod).pdf
2022,North Dakota,https://wioaplans.ed.gov/sites/default/files/pdfs/state-plan/2022/North_Dakota_PYs_2022-2023_(Mod).pdf
